case_id,child_id,episode_id,note_date,note_type,note_text,author
178.0,84,7,2024-08-01,court,Court hearing scheduled for next month regarding permanency.,M. Johnson
178.0,84,7,2024-05-02,visit,Child expressed desire to maintain contact with siblings.,M. Johnson
178.0,84,7,2024-08-17,visit,Court hearing scheduled for next month regarding permanency.,R. Davis
178.0,84,7,2024-06-04,visit,Medical examination completed. All immunizations up to date.,A. Williams
212.0,260,8,2024-06-07,visit,Initial assessment completed. Child appears safe in current placement.,M. Johnson
154.0,260,8,2024-09-11,assessment,Safety concerns noted during home visit. Follow-up required.,R. Davis
154.0,260,8,2025-03-03,review,Court hearing scheduled for next month regarding permanency.,A. Williams
212.0,260,8,2022-12-19,review,Court hearing scheduled for next month regarding permanency.,M. Johnson
154.0,260,8,2023-09-18,review,Therapeutic services initiated. Child responding well to counseling.,J. Smith
212.0,260,8,2024-12-27,assessment,Case review meeting held with team. Progress toward goals noted.,K. Brown
151.0,260,8,2025-06-24,service,Safety concerns noted during home visit. Follow-up required.,K. Brown
,154,9,2023-11-18,service,Medical examination completed. All immunizations up to date.,M. Johnson
,154,9,2023-12-18,visit,Therapeutic services initiated. Child responding well to counseling.,K. Brown
,154,9,2023-12-26,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,154,9,2025-02-25,assessment,Monthly visit conducted. Child is adjusting well to school.,M. Johnson
,154,9,2024-09-20,visit,Monthly visit conducted. Child is adjusting well to school.,A. Williams
,154,9,2024-08-29,service,Initial assessment completed. Child appears safe in current placement.,K. Brown
,154,9,2025-01-02,review,Court hearing scheduled for next month regarding permanency.,K. Brown
,214,10,2025-05-20,review,Monthly visit conducted. Child is adjusting well to school.,K. Brown
,214,10,2022-07-29,review,Parent-child visit supervised. Positive interaction observed.,J. Smith
,214,10,2024-11-17,review,Safety concerns noted during home visit. Follow-up required.,M. Johnson
,214,10,2025-06-16,review,Initial assessment completed. Child appears safe in current placement.,R. Davis
,214,10,2025-01-04,assessment,Medical examination completed. All immunizations up to date.,M. Johnson
,214,10,2023-06-24,visit,Safety concerns noted during home visit. Follow-up required.,M. Johnson
,214,10,2025-05-18,court,Initial assessment completed. Child appears safe in current placement.,K. Brown
,214,10,2025-04-10,service,Court hearing scheduled for next month regarding permanency.,A. Williams
,214,10,2023-02-17,court,Parent-child visit supervised. Positive interaction observed.,R. Davis
,214,10,2023-02-27,court,Therapeutic services initiated. Child responding well to counseling.,K. Brown
76.0,306,11,2023-11-08,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
95.0,306,11,2023-09-20,review,Initial assessment completed. Child appears safe in current placement.,K. Brown
295.0,306,11,2025-08-11,service,Initial assessment completed. Child appears safe in current placement.,A. Williams
295.0,306,11,2023-02-16,service,Safety concerns noted during home visit. Follow-up required.,A. Williams
76.0,306,11,2024-02-07,visit,Safety concerns noted during home visit. Follow-up required.,M. Johnson
95.0,306,11,2024-03-27,visit,Monthly visit conducted. Child is adjusting well to school.,K. Brown
76.0,306,11,2024-06-27,visit,Medical examination completed. All immunizations up to date.,R. Davis
277.0,296,12,2025-08-23,service,Initial assessment completed. Child appears safe in current placement.,M. Johnson
277.0,296,12,2026-08-25,assessment,Educational needs assessment conducted. IEP recommended.,K. Brown
277.0,296,12,2025-07-17,court,Child expressed desire to maintain contact with siblings.,M. Johnson
277.0,296,12,2025-12-30,visit,Educational needs assessment conducted. IEP recommended.,K. Brown
277.0,296,12,2024-12-11,court,Child expressed desire to maintain contact with siblings.,J. Smith
,323,13,2024-04-13,assessment,Monthly visit conducted. Child is adjusting well to school.,M. Johnson
,323,13,2023-02-03,visit,Court hearing scheduled for next month regarding permanency.,K. Brown
,323,13,2023-06-23,court,Initial assessment completed. Child appears safe in current placement.,M. Johnson
,323,13,2024-02-29,assessment,Educational needs assessment conducted. IEP recommended.,A. Williams
,323,13,2022-08-17,service,Educational needs assessment conducted. IEP recommended.,R. Davis
,323,13,2023-09-07,assessment,Safety concerns noted during home visit. Follow-up required.,K. Brown
,323,13,2023-09-13,service,Court hearing scheduled for next month regarding permanency.,J. Smith
,323,13,2022-08-06,visit,Court hearing scheduled for next month regarding permanency.,M. Johnson
,17,14,2022-07-30,assessment,Initial assessment completed. Child appears safe in current placement.,A. Williams
,17,14,2023-02-28,review,Initial assessment completed. Child appears safe in current placement.,K. Brown
,17,14,2023-03-26,court,Therapeutic services initiated. Child responding well to counseling.,K. Brown
,17,14,2022-09-04,service,Parent-child visit supervised. Positive interaction observed.,R. Davis
,17,14,2022-10-10,review,Court hearing scheduled for next month regarding permanency.,M. Johnson
,17,14,2022-12-14,visit,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
,17,14,2023-02-28,assessment,Educational needs assessment conducted. IEP recommended.,J. Smith
,17,14,2022-10-24,assessment,Case review meeting held with team. Progress toward goals noted.,M. Johnson
226.0,226,15,2024-05-07,service,Initial assessment completed. Child appears safe in current placement.,A. Williams
226.0,226,15,2024-07-19,service,Initial assessment completed. Child appears safe in current placement.,R. Davis
226.0,226,15,2024-07-27,visit,Child expressed desire to maintain contact with siblings.,K. Brown
281.0,226,15,2025-06-25,assessment,Parent-child visit supervised. Positive interaction observed.,A. Williams
281.0,226,15,2025-03-16,visit,Medical examination completed. All immunizations up to date.,K. Brown
226.0,226,15,2025-10-25,court,Monthly visit conducted. Child is adjusting well to school.,A. Williams
,211,16,2023-09-29,court,Child expressed desire to maintain contact with siblings.,M. Johnson
,211,16,2023-11-08,visit,Court hearing scheduled for next month regarding permanency.,J. Smith
,211,16,2022-12-16,visit,Safety concerns noted during home visit. Follow-up required.,M. Johnson
,211,16,2023-10-04,service,Therapeutic services initiated. Child responding well to counseling.,R. Davis
,211,16,2023-03-29,service,Court hearing scheduled for next month regarding permanency.,A. Williams
,211,16,2025-08-13,service,Safety concerns noted during home visit. Follow-up required.,A. Williams
,211,16,2023-10-23,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,211,16,2024-11-14,review,Court hearing scheduled for next month regarding permanency.,A. Williams
,362,17,2025-07-03,review,Medical examination completed. All immunizations up to date.,R. Davis
,362,17,2025-07-08,assessment,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
,362,17,2025-10-25,service,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,362,17,2025-03-06,review,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,362,17,2025-10-26,assessment,Parent-child visit supervised. Positive interaction observed.,K. Brown
,362,17,2025-02-18,visit,Medical examination completed. All immunizations up to date.,R. Davis
,362,17,2025-06-23,court,Educational needs assessment conducted. IEP recommended.,M. Johnson
,362,17,2025-09-29,assessment,Initial assessment completed. Child appears safe in current placement.,M. Johnson
75.0,340,18,2024-04-05,review,Safety concerns noted during home visit. Follow-up required.,A. Williams
16.0,340,18,2024-05-06,service,Monthly visit conducted. Child is adjusting well to school.,K. Brown
16.0,340,18,2024-04-06,assessment,Case review meeting held with team. Progress toward goals noted.,A. Williams
16.0,340,18,2025-01-15,court,Initial assessment completed. Child appears safe in current placement.,R. Davis
16.0,340,18,2023-04-05,service,Educational needs assessment conducted. IEP recommended.,R. Davis
16.0,340,18,2025-07-12,assessment,Educational needs assessment conducted. IEP recommended.,R. Davis
134.0,236,19,2024-12-20,review,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
134.0,236,19,2023-10-24,assessment,Case review meeting held with team. Progress toward goals noted.,M. Johnson
134.0,236,19,2022-10-31,review,Medical examination completed. All immunizations up to date.,A. Williams
134.0,236,19,2024-06-25,court,Therapeutic services initiated. Child responding well to counseling.,R. Davis
134.0,236,19,2023-06-13,assessment,Initial assessment completed. Child appears safe in current placement.,R. Davis
134.0,236,19,2024-02-12,visit,Court hearing scheduled for next month regarding permanency.,A. Williams
134.0,236,19,2023-07-12,visit,Parent-child visit supervised. Positive interaction observed.,M. Johnson
134.0,236,19,2025-10-11,visit,Safety concerns noted during home visit. Follow-up required.,R. Davis
134.0,236,19,2024-11-06,visit,Medical examination completed. All immunizations up to date.,A. Williams
181.0,313,20,2024-03-14,court,Initial assessment completed. Child appears safe in current placement.,J. Smith
181.0,313,20,2025-05-13,assessment,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
181.0,313,20,2023-10-10,review,Case review meeting held with team. Progress toward goals noted.,J. Smith
181.0,313,20,2025-01-29,court,Case review meeting held with team. Progress toward goals noted.,R. Davis
181.0,313,20,2023-08-20,assessment,Safety concerns noted during home visit. Follow-up required.,A. Williams
,286,21,2025-09-22,service,Court hearing scheduled for next month regarding permanency.,K. Brown
,286,21,2024-09-29,service,Safety concerns noted during home visit. Follow-up required.,M. Johnson
,286,21,2025-06-09,visit,Educational needs assessment conducted. IEP recommended.,M. Johnson
,286,21,2025-05-20,assessment,Court hearing scheduled for next month regarding permanency.,M. Johnson
,286,21,2025-09-10,service,Court hearing scheduled for next month regarding permanency.,A. Williams
,286,21,2024-02-26,court,Court hearing scheduled for next month regarding permanency.,M. Johnson
249.0,361,22,2025-07-27,visit,Court hearing scheduled for next month regarding permanency.,J. Smith
249.0,361,22,2025-03-16,service,Child expressed desire to maintain contact with siblings.,J. Smith
249.0,361,22,2025-08-15,visit,Case review meeting held with team. Progress toward goals noted.,J. Smith
249.0,361,22,2025-02-19,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
249.0,361,22,2025-09-04,assessment,Parent-child visit supervised. Positive interaction observed.,J. Smith
249.0,361,22,2024-12-25,review,Initial assessment completed. Child appears safe in current placement.,J. Smith
249.0,361,22,2025-09-19,review,Safety concerns noted during home visit. Follow-up required.,J. Smith
249.0,361,22,2024-11-21,service,Case review meeting held with team. Progress toward goals noted.,K. Brown
249.0,361,22,2025-10-01,court,Safety concerns noted during home visit. Follow-up required.,K. Brown
219.0,246,23,2024-06-30,review,Therapeutic services initiated. Child responding well to counseling.,R. Davis
219.0,246,23,2024-02-28,visit,Monthly visit conducted. Child is adjusting well to school.,R. Davis
219.0,246,23,2024-08-23,review,Child expressed desire to maintain contact with siblings.,M. Johnson
219.0,246,23,2023-10-26,visit,Parent-child visit supervised. Positive interaction observed.,K. Brown
219.0,246,23,2024-11-22,court,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
300.0,148,24,2025-03-30,assessment,Monthly visit conducted. Child is adjusting well to school.,M. Johnson
300.0,148,24,2025-03-25,court,Monthly visit conducted. Child is adjusting well to school.,R. Davis
300.0,148,24,2025-07-21,court,Monthly visit conducted. Child is adjusting well to school.,J. Smith
300.0,148,24,2025-04-19,service,Medical examination completed. All immunizations up to date.,A. Williams
300.0,148,24,2025-05-04,assessment,Therapeutic services initiated. Child responding well to counseling.,R. Davis
300.0,148,24,2025-06-27,visit,Therapeutic services initiated. Child responding well to counseling.,K. Brown
300.0,148,24,2025-08-08,visit,Initial assessment completed. Child appears safe in current placement.,M. Johnson
300.0,148,24,2025-04-17,assessment,Child expressed desire to maintain contact with siblings.,K. Brown
300.0,148,24,2025-10-03,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
155.0,459,25,2023-10-05,court,Court hearing scheduled for next month regarding permanency.,M. Johnson
155.0,459,25,2024-02-05,court,Educational needs assessment conducted. IEP recommended.,K. Brown
155.0,459,25,2024-03-25,review,Safety concerns noted during home visit. Follow-up required.,M. Johnson
155.0,459,25,2023-11-25,service,Medical examination completed. All immunizations up to date.,K. Brown
155.0,459,25,2024-04-23,review,Medical examination completed. All immunizations up to date.,M. Johnson
155.0,459,25,2024-02-04,review,Child expressed desire to maintain contact with siblings.,R. Davis
155.0,459,25,2024-05-13,visit,Parent-child visit supervised. Positive interaction observed.,A. Williams
300.0,148,26,2025-06-21,court,Medical examination completed. All immunizations up to date.,K. Brown
300.0,148,26,2025-06-03,visit,Safety concerns noted during home visit. Follow-up required.,A. Williams
300.0,148,26,2025-06-04,service,Court hearing scheduled for next month regarding permanency.,R. Davis
7.0,383,27,2023-10-06,assessment,Initial assessment completed. Child appears safe in current placement.,M. Johnson
214.0,383,27,2023-05-31,assessment,Child expressed desire to maintain contact with siblings.,J. Smith
24.0,383,27,2025-01-12,court,Initial assessment completed. Child appears safe in current placement.,J. Smith
214.0,383,27,2024-12-09,visit,Educational needs assessment conducted. IEP recommended.,R. Davis
7.0,383,27,2025-07-10,visit,Court hearing scheduled for next month regarding permanency.,A. Williams
7.0,383,27,2023-06-24,assessment,Monthly visit conducted. Child is adjusting well to school.,J. Smith
24.0,383,27,2024-09-04,assessment,Court hearing scheduled for next month regarding permanency.,K. Brown
7.0,383,27,2025-03-02,review,Therapeutic services initiated. Child responding well to counseling.,K. Brown
214.0,383,27,2024-03-27,court,Educational needs assessment conducted. IEP recommended.,J. Smith
4.0,478,28,2023-03-29,visit,Initial assessment completed. Child appears safe in current placement.,R. Davis
222.0,478,28,2023-08-04,assessment,Initial assessment completed. Child appears safe in current placement.,K. Brown
222.0,478,28,2024-12-28,service,Medical examination completed. All immunizations up to date.,A. Williams
222.0,478,28,2025-10-28,court,Parent-child visit supervised. Positive interaction observed.,K. Brown
13.0,478,28,2023-07-01,visit,Medical examination completed. All immunizations up to date.,K. Brown
222.0,478,28,2023-04-27,assessment,Child expressed desire to maintain contact with siblings.,R. Davis
4.0,478,28,2022-12-06,service,Court hearing scheduled for next month regarding permanency.,R. Davis
199.0,316,29,2025-02-08,court,Child expressed desire to maintain contact with siblings.,K. Brown
199.0,316,29,2023-05-28,court,Child expressed desire to maintain contact with siblings.,M. Johnson
199.0,316,29,2023-12-29,visit,Monthly visit conducted. Child is adjusting well to school.,A. Williams
199.0,316,29,2024-05-12,assessment,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
112.0,116,30,2022-07-23,review,Initial assessment completed. Child appears safe in current placement.,A. Williams
112.0,116,30,2023-03-31,visit,Parent-child visit supervised. Positive interaction observed.,A. Williams
112.0,116,30,2022-09-02,review,Educational needs assessment conducted. IEP recommended.,J. Smith
174.0,116,30,2022-06-18,visit,Therapeutic services initiated. Child responding well to counseling.,J. Smith
18.0,170,31,2025-03-24,service,Medical examination completed. All immunizations up to date.,M. Johnson
18.0,170,31,2024-01-02,court,Court hearing scheduled for next month regarding permanency.,J. Smith
18.0,170,31,2024-01-19,review,Monthly visit conducted. Child is adjusting well to school.,R. Davis
18.0,170,31,2025-05-20,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
18.0,170,31,2024-06-16,court,Court hearing scheduled for next month regarding permanency.,M. Johnson
18.0,170,31,2025-01-12,visit,Monthly visit conducted. Child is adjusting well to school.,M. Johnson
18.0,170,31,2025-08-07,assessment,Court hearing scheduled for next month regarding permanency.,R. Davis
18.0,170,31,2024-07-26,service,Court hearing scheduled for next month regarding permanency.,A. Williams
17.0,494,32,2023-03-10,visit,Child expressed desire to maintain contact with siblings.,M. Johnson
17.0,494,32,2022-12-22,assessment,Case review meeting held with team. Progress toward goals noted.,K. Brown
17.0,494,32,2022-10-26,assessment,Therapeutic services initiated. Child responding well to counseling.,R. Davis
17.0,494,32,2022-10-21,visit,Educational needs assessment conducted. IEP recommended.,A. Williams
17.0,494,32,2022-12-02,assessment,Monthly visit conducted. Child is adjusting well to school.,A. Williams
17.0,494,32,2023-06-29,court,Monthly visit conducted. Child is adjusting well to school.,J. Smith
17.0,494,32,2022-12-07,court,Educational needs assessment conducted. IEP recommended.,A. Williams
,245,33,2025-10-07,assessment,Monthly visit conducted. Child is adjusting well to school.,R. Davis
,245,33,2024-11-09,visit,Safety concerns noted during home visit. Follow-up required.,A. Williams
,245,33,2024-05-15,service,Case review meeting held with team. Progress toward goals noted.,M. Johnson
,245,33,2024-08-04,court,Medical examination completed. All immunizations up to date.,R. Davis
,245,33,2023-11-18,court,Monthly visit conducted. Child is adjusting well to school.,K. Brown
,245,33,2024-12-16,service,Therapeutic services initiated. Child responding well to counseling.,J. Smith
,245,33,2025-08-08,visit,Parent-child visit supervised. Positive interaction observed.,R. Davis
,245,33,2022-03-02,assessment,Monthly visit conducted. Child is adjusting well to school.,A. Williams
,245,33,2024-03-24,assessment,Case review meeting held with team. Progress toward goals noted.,K. Brown
,245,33,2022-07-13,assessment,Child expressed desire to maintain contact with siblings.,K. Brown
296.0,147,34,2024-02-08,service,Medical examination completed. All immunizations up to date.,K. Brown
296.0,147,34,2022-10-05,assessment,Monthly visit conducted. Child is adjusting well to school.,K. Brown
296.0,147,34,2024-07-30,service,Safety concerns noted during home visit. Follow-up required.,J. Smith
296.0,147,34,2023-12-05,review,Educational needs assessment conducted. IEP recommended.,M. Johnson
33.0,119,35,2022-10-23,service,Initial assessment completed. Child appears safe in current placement.,R. Davis
33.0,119,35,2022-10-28,assessment,Parent-child visit supervised. Positive interaction observed.,A. Williams
33.0,119,35,2022-12-20,review,Child expressed desire to maintain contact with siblings.,J. Smith
33.0,119,35,2023-01-20,service,Educational needs assessment conducted. IEP recommended.,M. Johnson
33.0,119,35,2022-10-15,visit,Child expressed desire to maintain contact with siblings.,A. Williams
33.0,119,35,2022-11-10,visit,Court hearing scheduled for next month regarding permanency.,J. Smith
33.0,119,35,2022-11-13,visit,Therapeutic services initiated. Child responding well to counseling.,K. Brown
33.0,119,35,2022-12-01,court,Court hearing scheduled for next month regarding permanency.,J. Smith
33.0,119,35,2022-10-20,court,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
33.0,119,35,2022-11-03,service,Educational needs assessment conducted. IEP recommended.,K. Brown
297.0,452,36,2025-01-10,court,Case review meeting held with team. Progress toward goals noted.,K. Brown
295.0,452,36,2024-10-14,visit,Case review meeting held with team. Progress toward goals noted.,R. Davis
297.0,452,36,2024-10-31,court,Initial assessment completed. Child appears safe in current placement.,M. Johnson
295.0,452,36,2024-12-10,service,Safety concerns noted during home visit. Follow-up required.,J. Smith
297.0,452,36,2025-01-22,court,Medical examination completed. All immunizations up to date.,J. Smith
,96,37,2024-03-03,service,Case review meeting held with team. Progress toward goals noted.,J. Smith
,96,37,2024-02-26,assessment,Parent-child visit supervised. Positive interaction observed.,K. Brown
,96,37,2024-04-08,review,Court hearing scheduled for next month regarding permanency.,R. Davis
,96,37,2024-03-19,assessment,Safety concerns noted during home visit. Follow-up required.,M. Johnson
,96,37,2024-03-07,review,Initial assessment completed. Child appears safe in current placement.,A. Williams
,96,37,2024-03-18,visit,Therapeutic services initiated. Child responding well to counseling.,A. Williams
,96,37,2024-03-27,visit,Educational needs assessment conducted. IEP recommended.,K. Brown
,96,37,2024-03-21,service,Safety concerns noted during home visit. Follow-up required.,A. Williams
,96,37,2024-03-29,service,Medical examination completed. All immunizations up to date.,A. Williams
,96,37,2024-03-02,assessment,Educational needs assessment conducted. IEP recommended.,K. Brown
,309,38,2025-08-31,review,Case review meeting held with team. Progress toward goals noted.,M. Johnson
,309,38,2026-09-09,service,Child expressed desire to maintain contact with siblings.,A. Williams
,309,38,2027-01-07,service,Therapeutic services initiated. Child responding well to counseling.,R. Davis
,309,38,2025-06-12,visit,Monthly visit conducted. Child is adjusting well to school.,J. Smith
,309,38,2026-12-28,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
,309,38,2025-06-17,service,Case review meeting held with team. Progress toward goals noted.,R. Davis
,309,38,2025-06-13,service,Medical examination completed. All immunizations up to date.,R. Davis
,309,38,2025-04-05,court,Child expressed desire to maintain contact with siblings.,M. Johnson
279.0,329,39,2025-04-10,visit,Parent-child visit supervised. Positive interaction observed.,K. Brown
279.0,329,39,2023-06-03,service,Child expressed desire to maintain contact with siblings.,K. Brown
279.0,329,39,2022-10-07,assessment,Medical examination completed. All immunizations up to date.,A. Williams
279.0,329,39,2024-03-23,court,Child expressed desire to maintain contact with siblings.,M. Johnson
279.0,329,39,2022-09-30,visit,Initial assessment completed. Child appears safe in current placement.,J. Smith
279.0,329,39,2023-08-02,review,Case review meeting held with team. Progress toward goals noted.,A. Williams
260.0,240,40,2024-09-19,assessment,Medical examination completed. All immunizations up to date.,K. Brown
260.0,240,40,2024-10-12,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
260.0,240,40,2024-08-07,assessment,Child expressed desire to maintain contact with siblings.,A. Williams
260.0,240,40,2025-09-09,service,Parent-child visit supervised. Positive interaction observed.,J. Smith
260.0,240,40,2024-08-05,review,Child expressed desire to maintain contact with siblings.,A. Williams
260.0,240,40,2025-10-16,court,Parent-child visit supervised. Positive interaction observed.,J. Smith
260.0,240,40,2024-07-02,service,Initial assessment completed. Child appears safe in current placement.,R. Davis
260.0,240,40,2024-09-01,review,Medical examination completed. All immunizations up to date.,J. Smith
178.0,84,41,2023-04-08,service,Safety concerns noted during home visit. Follow-up required.,M. Johnson
178.0,84,41,2023-11-14,court,Parent-child visit supervised. Positive interaction observed.,R. Davis
178.0,84,41,2025-07-21,service,Therapeutic services initiated. Child responding well to counseling.,J. Smith
178.0,84,41,2023-12-20,assessment,Initial assessment completed. Child appears safe in current placement.,R. Davis
178.0,84,41,2025-08-17,visit,Educational needs assessment conducted. IEP recommended.,R. Davis
178.0,84,41,2023-07-17,assessment,Therapeutic services initiated. Child responding well to counseling.,A. Williams
178.0,84,41,2025-09-15,visit,Monthly visit conducted. Child is adjusting well to school.,K. Brown
178.0,84,41,2025-07-25,assessment,Child expressed desire to maintain contact with siblings.,J. Smith
178.0,84,41,2024-07-28,service,Monthly visit conducted. Child is adjusting well to school.,K. Brown
56.0,8,42,2024-03-04,service,Child expressed desire to maintain contact with siblings.,A. Williams
19.0,8,42,2024-10-07,assessment,Court hearing scheduled for next month regarding permanency.,A. Williams
2.0,8,42,2023-11-23,review,Case review meeting held with team. Progress toward goals noted.,J. Smith
19.0,8,42,2024-01-17,court,Educational needs assessment conducted. IEP recommended.,R. Davis
,439,43,2022-08-19,review,Therapeutic services initiated. Child responding well to counseling.,J. Smith
,439,43,2022-09-23,review,Initial assessment completed. Child appears safe in current placement.,R. Davis
,439,43,2022-04-02,review,Medical examination completed. All immunizations up to date.,M. Johnson
,45,44,2024-07-18,visit,Parent-child visit supervised. Positive interaction observed.,J. Smith
,45,44,2024-06-10,assessment,Parent-child visit supervised. Positive interaction observed.,J. Smith
,45,44,2025-07-25,assessment,Therapeutic services initiated. Child responding well to counseling.,A. Williams
,45,44,2024-11-15,assessment,Monthly visit conducted. Child is adjusting well to school.,A. Williams
,45,44,2025-07-05,review,Therapeutic services initiated. Child responding well to counseling.,K. Brown
,45,44,2025-08-12,service,Child expressed desire to maintain contact with siblings.,R. Davis
,245,45,2023-12-28,court,Court hearing scheduled for next month regarding permanency.,M. Johnson
,245,45,2024-01-28,court,Child expressed desire to maintain contact with siblings.,J. Smith
,245,45,2024-01-22,review,Therapeutic services initiated. Child responding well to counseling.,M. Johnson
,245,45,2023-12-29,service,Child expressed desire to maintain contact with siblings.,K. Brown
,245,45,2024-01-12,review,Therapeutic services initiated. Child responding well to counseling.,A. Williams
,245,45,2024-01-24,visit,Case review meeting held with team. Progress toward goals noted.,K. Brown
,245,45,2024-01-12,assessment,Case review meeting held with team. Progress toward goals noted.,A. Williams
,245,45,2024-01-08,visit,Educational needs assessment conducted. IEP recommended.,M. Johnson
,245,45,2023-12-18,review,Therapeutic services initiated. Child responding well to counseling.,R. Davis
,121,46,2024-02-02,review,Medical examination completed. All immunizations up to date.,A. Williams
,121,46,2024-05-19,visit,Monthly visit conducted. Child is adjusting well to school.,M. Johnson
,121,46,2024-03-03,service,Court hearing scheduled for next month regarding permanency.,A. Williams
,121,46,2023-12-15,visit,Parent-child visit supervised. Positive interaction observed.,A. Williams
,121,46,2024-04-22,assessment,Safety concerns noted during home visit. Follow-up required.,J. Smith
,121,46,2023-04-17,court,Initial assessment completed. Child appears safe in current placement.,A. Williams
,121,46,2023-11-12,service,Case review meeting held with team. Progress toward goals noted.,A. Williams
,121,46,2023-12-02,review,Monthly visit conducted. Child is adjusting well to school.,K. Brown
,121,46,2024-01-23,review,Parent-child visit supervised. Positive interaction observed.,R. Davis
55.0,371,47,2023-02-18,review,Monthly visit conducted. Child is adjusting well to school.,R. Davis
55.0,371,47,2024-12-02,court,Safety concerns noted during home visit. Follow-up required.,M. Johnson
55.0,371,47,2023-08-30,service,Educational needs assessment conducted. IEP recommended.,J. Smith
55.0,371,47,2024-02-05,visit,Monthly visit conducted. Child is adjusting well to school.,K. Brown
55.0,371,47,2023-07-08,review,Child expressed desire to maintain contact with siblings.,M. Johnson
55.0,371,47,2025-10-15,court,Initial assessment completed. Child appears safe in current placement.,R. Davis
21.0,355,48,2025-09-27,assessment,Child expressed desire to maintain contact with siblings.,J. Smith
21.0,355,48,2024-07-22,visit,Monthly visit conducted. Child is adjusting well to school.,K. Brown
21.0,355,48,2024-09-17,court,Therapeutic services initiated. Child responding well to counseling.,A. Williams
,158,49,2025-06-07,visit,Medical examination completed. All immunizations up to date.,A. Williams
,158,49,2025-07-25,review,Initial assessment completed. Child appears safe in current placement.,K. Brown
,158,49,2025-04-16,service,Educational needs assessment conducted. IEP recommended.,J. Smith
